seller_id,seller_name,seller_address,seller_email,seller_phone,parent_id
87,Horst,698 Vidon Trail,hdances@cdc.gov,612-411-4276,97
41,Kort,9225 Buell Circle,kmcnicolt@ucsd.edu,987-860-2776,84
63,Brewster,487 Center Lane,bvandrillu@taobao.com,443-606-1542,40
49,Giavani,04942 Mesta Hill,gpatillov@surveymonkey.com,435-836-8559,25
45,Kenneth,9285 Crownhardt Point,kswafferw@bizjournals.com,773-217-8046,75
87,Lauritz,8219 Stone Corner Trail,llefridgex@friendfeed.com,748-264-8819,58
88,Marty,07 Golf Trail,mwallikery@hostgator.com,660-584-3439,21
58,Titos,885 Cascade Junction,tduckerz@51.la,462-111-9915,12
73,Franklyn,3 Dwight Pass,fgrebner10@craigslist.org,935-358-9055,39
42,Annabella,70 Clove Street,asuter11@ow.ly,517-852-0872,37
64,Keefer,248 Daystar Plaza,kclell12@mac.com,618-343-9797,64
98,Gino,5 West Terrace,gciotto13@chicagotribune.com,163-711-4958,85
44,Berkeley,6 Ridge Oak Terrace,bfeedome14@domainmarket.com,928-773-6993,75
100,Hercule,633 Susan Pass,hannott15@google.cn,773-141-5255,54
42,Alexa,77 Saint Paul Park,aleahy16@spiegel.de,432-780-9879,93
52,Bernadine,35659 Sloan Place,bchadbourn17@hexun.com,658-916-2056,40
44,Quinn,43160 Farwell Trail,qtrahair18@shinystat.com,425-476-4473,99
51,Siana,8127 Northwestern Way,skenford19@mac.com,983-505-9950,20
39,Falkner,6917 Del Mar Lane,fshanahan1a@amazon.co.jp,152-331-1194,49
39,Anastassia,3 Arizona Crossing,agirvan1b@ftc.gov,634-986-6667,63
76,Emilie,72 Sheridan Pass,egollop1c@ask.com,716-453-6200,23
79,Cally,378 Trailsway Drive,cmelburg1d@independent.co.uk,183-502-8605,86
59,Betsey,5 Eagan Plaza,bheinle1e@redcross.org,962-567-6761,25
63,Malina,965 Melrose Point,mhoyle1f@last.fm,616-676-6730,55
57,Chico,00 Esker Court,cabbison1g@nsw.gov.au,978-781-1402,45
30,Tabor,4284 Golden Leaf Way,tgenner1h@admin.ch,280-410-9022,81
56,Marleen,4 Golf Course Circle,mabate1i@angelfire.com,201-863-4154,63
66,Denis,4749 Hagan Point,dbeere1j@wikia.com,979-280-4616,22
4,Shay,88 Kensington Junction,sstapells1k@archive.org,589-907-7643,47
85,Charmain,9768 Mallard Center,cfoystone1l@blog.com,771-399-4003,66
21,Terrance,813 Lunder Road,tredhouse1m@t-online.de,104-378-9880,46
60,Sherrie,4928 Fordem Road,syanin1n@arstechnica.com,781-617-1220,77
57,Connie,985 Cordelia Way,ccrittal1o@163.com,506-814-4749,19
56,Daryl,2361 Maryland Terrace,dhearon1p@geocities.jp,386-101-6733,81
44,Hobie,90662 Spaight Court,hbesnardeau1q@domainmarket.com,675-733-2653,80
42,Annabela,63 Gulseth Parkway,aseiller1r@yellowpages.com,843-341-8953,1
21,Blanche,6993 Gerald Street,bgareisr1s@altervista.org,885-229-6845,33
42,Lizbeth,938 Buena Vista Park,lsiggee1t@berkeley.edu,578-894-2511,21
3,Zachery,773 6th Drive,zfardo1u@va.gov,977-657-6180,13
26,Catrina,52096 Old Gate Circle,cschaumaker1v@yale.edu,344-618-5071,75
47,Anestassia,5786 Derek Road,aalred1w@qq.com,407-809-7555,97
94,Goran,7 Florence Drive,ghammond1x@gizmodo.com,335-994-4385,18
70,Layla,1 Mayfield Avenue,ldiroberto1y@pagesperso-orange.fr,767-304-9271,27
33,Pate,2891 Cambridge Drive,pfoord1z@census.gov,376-663-7835,25
93,Hakeem,8 Aberg Avenue,hlamcken20@ucsd.edu,497-170-6334,23
32,Tildy,585 Merry Parkway,tpulteneye21@archive.org,319-368-4911,34
24,Delphinia,80050 Burrows Terrace,ddecker22@4shared.com,178-427-3842,71
97,Zahara,96 Schmedeman Plaza,zwhitecross23@studiopress.com,847-385-5315,22
39,Hector,009 Laurel Place,hmacpeake24@home.pl,293-613-5624,93
36,Helena,0 Sundown Terrace,htruggian25@xrea.com,143-812-2029,71
17,Kelila,46 Carpenter Park,kgilstin26@google.fr,927-547-5221,43
77,Norby,55 Mccormick Trail,nfranciotti27@mit.edu,846-140-6409,94
48,Algernon,6514 Thierer Circle,aganny28@360.cn,388-203-9623,97
86,Eadith,88 Fairfield Center,estodart29@google.com.hk,404-572-4481,98
84,Worthington,48 6th Junction,wadriaan2a@archive.org,322-517-3564,46
79,Nikolaus,11 Charing Cross Way,nkenaway2b@mail.ru,319-144-5606,25
76,Letty,2 Burning Wood Plaza,ldmitrovic2c@ucla.edu,131-864-6442,96
24,Ardelis,735 Mallory Pass,aperutto2d@trellian.com,525-204-3538,37
91,Eddi,771 Killdeer Terrace,etaylorson2e@amazon.co.jp,616-753-2199,44
48,Gregg,233 8th Circle,greggiani2f@issuu.com,505-667-1799,49
65,Carmelia,79 Anzinger Terrace,cbenjafield2g@friendfeed.com,819-155-5092,2
6,Brew,67 Northwestern Point,bsynder2h@sohu.com,177-922-6937,77
50,Consalve,5270 Hoard Center,cjeff2i@lulu.com,970-609-7059,63
20,Robbert,66 Everett Avenue,rmcneill2j@sfgate.com,626-795-9557,46
98,Marlin,00 Coolidge Hill,mmonkton2k@usgs.gov,258-343-1612,83
90,Haleigh,40 Macpherson Place,hgruczka2l@senate.gov,311-376-8918,38
100,Erich,307 Fremont Road,eworrill2m@addthis.com,673-839-2240,27
51,Yetty,68454 Larry Parkway,ybreed2n@senate.gov,789-358-1064,39
70,Lammond,0 Huxley Road,lgerold2o@nifty.com,648-533-0226,42
46,Noami,44936 Schiller Street,nemanuelov2p@businessinsider.com,559-781-2043,82
83,Roda,3144 Anthes Alley,rfilyukov2q@tmall.com,882-248-3631,66
10,Ingeborg,9169 Riverside Terrace,irenfield2r@livejournal.com,426-237-6713,44
